filename,title,source_url,retrieved_at,license_or_permission
nghi-dinh-81-2021-nd-cp-hoc-phi.pdf,"Nghị định 81/2021/NĐ-CP quy định về cơ chế thu, quản lý học phí và chính sách miễn, giảm học phí, hỗ trợ chi phí học tập",https://vanban.chinhphu.vn/default.aspx?pageid=27160&docid=203950,2026-09-20,public-source
nghi-dinh-179-2026-nd-cp-hoc-bong.pdf,"Nghị định 179/2026/NĐ-CP quy định chính sách học bổng cho người học các ngành khoa học cơ bản, kỹ thuật then chốt và công nghệ chiến lược",https://chinhphu.vn/?pageid=27160&docid=218222,2026-09-20,public-source
nghi-dinh-238-2025-nd-cp.pdf,"Nghị định 238/2025/NĐ-CP quy định về chính sách học phí, miễn, giảm, hỗ trợ học phí, hỗ trợ chi phí học tập và giá dịch vụ trong lĩnh vực giáo dục, đào tạo",https://vanban.chinhphu.vn/?pageid=27160&docid=215169,2026-09-20,public-source
